BOLD_ID,Phylum,Class,Order,Family,Genus,Species
BOLD:ADF0190,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa trifolii
BOLD:ADF0191,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa trifolii
BOLD:ADF0356,Arthropoda,Insecta,Lepidoptera,Saturniidae,Solus,Solus parvifenestratus
BOLD:ADF0379,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus trifasciatus
BOLD:ADF0692,Arthropoda,Insecta,Lepidoptera,Geometridae,Eois,Eois azafranata group
BOLD:ADF0912,Arthropoda,Insecta,Coleoptera,Curculionidae,Typoderus,Typoderus admetus
BOLD:ADF0992,Arthropoda,Insecta,Lepidoptera,Tortricidae,Dichrorampha,Dichrorampha simulana
BOLD:ADF1019,Arthropoda,Insecta,Diptera,Chironomidae,Metriocnemus,Metriocnemus fuscipes
BOLD:ADF1126,Arthropoda,Insecta,Lepidoptera,Geometridae,Alcis,Alcis maculata
BOLD:ADF1155,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus tricinctus
BOLD:ADF1156,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus tricinctus
BOLD:ADF1156,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus trifasciatus
BOLD:ADF1186,Arthropoda,Insecta,Lepidoptera,Geometridae,Eois,Eois adimaria group
BOLD:ADF1187,Arthropoda,Insecta,Lepidoptera,Geometridae,Eois,Eois adimaria group
BOLD:ADF1229,Arthropoda,Insecta,Lepidoptera,Eupterotidae,Apha,Apha subdives
BOLD:ADF1233,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Pantisarthrus,Pantisarthrus lubricus
BOLD:ADF1524,Arthropoda,Insecta,Lepidoptera,Eupterotidae,Sphingognatha,Sphingognatha patula
BOLD:ADF1550,Arthropoda,Insecta,Lepidoptera,Geometridae,Eois,Eois azafranata group
BOLD:ADF1572,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus plumosus
BOLD:ADF1590,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus mendax
BOLD:ADF1639,Arthropoda,Insecta,Lepidoptera,Geometridae,Eois,Eois adimaria group
BOLD:ADF1640,Arthropoda,Insecta,Lepidoptera,Geometridae,Eois,Eois adimaria group
BOLD:ADF1782,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum scalaenum
BOLD:ADF1796,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum convexum
BOLD:ADF1906,Arthropoda,Insecta,Diptera,Chironomidae,Cryptochironomus,Cryptochironomus psittacinus
BOLD:ADF1916,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Megacraspedus,Megacraspedus lanceolellus
BOLD:ADF1997,Arthropoda,Insecta,Hemiptera,Kinnaridae,Kinnapotiguara,Kinnapotiguara troglobia
BOLD:ADF1998,Arthropoda,Insecta,Hemiptera,Kinnaridae,Kinnapotiguara,Kinnapotiguara troglobia
BOLD:ADF2031,Arthropoda,Insecta,Coleoptera,Curculionidae,Typoderus,Typoderus subfurcatus
BOLD:ADF2164,Arthropoda,Insecta,Lepidoptera,Geometridae,Alcis,Alcis maculata
BOLD:ADF2170,Arthropoda,Insecta,Coleoptera,Curculionidae,Typoderus,Typoderus subfurcatus
BOLD:ADF2171,Arthropoda,Insecta,Coleoptera,Curculionidae,Typoderus,Typoderus subfurcatus
